group_value,sum_abs_error,actual_sum,n,wmape_pct,breakdown
HOBBIES,25111.362507527472,23754.0,31640,105.71,category
HOUSEHOLD,43476.141698676096,54631.0,58632,79.58,category
FOODS,94751.28208709403,153178.0,80472,61.86,category
TX_1,71107.79238234885,97531.0,85372,72.91,store
CA_1,92230.99391094876,134032.0,85372,68.81,store
4,32605.498086546704,45295.0,36588,71.98,month
5,130733.2882067509,186268.0,134156,70.19,month
0,138253.9703811217,195308.0,146352,70.79,event
1,25084.815912175905,36255.0,24392,69.19,event
