model,avg_mae,avg_rmse,avg_wmape_pct,wmape_diff_pp,pct_improvement_vs_baseline,beats_baseline
random_forest,0.912433135509491,1.8159557847991656,71.75,-15.37,17.65,True
lightgbm,0.9155994653701782,1.8145411670623672,72.0,-15.12,17.36,True
xgboost,0.9156152844429016,1.813063136332839,72.0,-15.12,17.36,True
decision_tree,0.9179976344108581,1.8397059776386968,72.19,-14.93,17.14,True
linear_regression,0.9456869125366211,1.8932868037808768,74.37,-12.75,14.64,True
naive,1.10813774,2.45555328,87.12,0.0,0.0,False
seasonal_naive,1.12863138,2.49952498,88.75,1.62,-1.86,False
