model,family,pooled_mae,pooled_rmse,pooled_wmape_pct,pooled_rmsse
xgboost,ML,1.0509074369829798,1.873157756632337,61.27,0.4716996514719317
lightgbm,ML,1.0527513797962613,1.882310285034732,61.37,0.47400444637893324
random_forest,ML,1.0531114514261017,1.8794677934956157,61.4,0.4732886485431313
decision_tree,ML,1.0592941147238437,1.893755611247222,61.76,0.4768866149343038
linear_regression,ML,1.0924055600923206,1.9586455056846401,63.69,0.49322722505206035
sarima,Classical,1.1714838133562253,2.4186779922573085,68.3,0.6090728674245548
prophet,Classical,1.214635703090787,2.448741075454982,70.81,0.6166433701311764
naive,Baseline,1.3158730158730159,2.5689692825339843,76.71,0.6469193056072251
seasonal_naive,Baseline,1.3458333333333334,2.617060934809875,78.46,0.6590297728313156
